pt,no_reactions
Renal disorder in pregnancy,1
Renal dysplasia,1
Renal tubular disorder,22
Renal tumour excision,1
Renin increased,1
Retinal artery embolism,2
Retrognathia,3
Retroperitoneal fibrosis,17
Retroperitoneal mass,1
Rhonchi,2
Rhythm idioventricular,1
Right ventricular dilatation,1
Right ventricular dysfunction,5
Routine health maintenance,1
Salivary duct obstruction,2
Salivary gland mucocoele,4
Salpingitis,1
Salpingo-oophorectomy,2
Scedosporium infection,1
Scleral disorder,2
Scleral haemorrhage,7
Scleroderma-like reaction,1
Scrotal erythema,1
Sensation of blood flow,2
Separation anxiety disorder,1
Sepsis neonatal,7
Serous retinal detachment,2
Serratia infection,2
Serum serotonin,5
Shunt thrombosis,3
Silent myocardial infarction,1
Single umbilical artery,8
Sinus rhythm,2
Skin hypertrophy,2
Sleep inertia,1
Social anxiety disorder,7
Soft tissue infection,5
Soft tissue mass,1
Soft tissue necrosis,2
Soft tissue neoplasm,5
Spinal cord drainage,1
Spinal vascular disorder,1
Spinocerebellar ataxia,2
Splinter,5
Spontaneous haematoma,18
Sputum culture,2
Staphylococcus test positive,4
Steroid dependence,4
Sticky skin,2
Stoma site extravasation,2
Stoma site reaction,4
Streptococcal endocarditis,3
Subcapsular splenic haematoma,2
Subchondral insufficiency fracture,3
Subdural hygroma,2
Substance-induced mood disorder,1
Superficial inflammatory dermatosis,1
Surgical failure,3
Sweating fever,4
Swollen joint count,2
Synostosis,1
Synovial rupture,1
Systolic hypertension,3
Temporomandibular joint surgery,1
Tenotomy,1
Testicular embryonal carcinoma stage III,1
Thrombosis with thrombocytopenia syndrome,4
Thyroxine free increased,3
Tinea capitis,1
Tongue erosion,1
Tongue erythema,4
Tooth resorption,1
Torulopsis infection,1
Total bile acids increased,3
Total lung capacity abnormal,13
Trabeculectomy,1
Tracheomalacia,1
Transitional cell cancer of renal pelvis and ureter metastatic,2
Transverse sinus thrombosis,2
Traumatic haemothorax,9
Trichoglossia,4
Trichomoniasis,2
Trisomy 18,2
Tuberculosis bladder,1
Tumour fistulisation,2
Tumour inflammation,3
Tumour necrosis,2
Turbinectomy,2
Ulnar tunnel syndrome,1
Umbilical cord around neck,2
Urinary occult blood positive,2
Urinary tract infection enterococcal,4
Urinary tract infection staphylococcal,3
Urine cannabinoids increased,1
Urine ketone body,1
Urine oxalate increased,1
Urostomy,2
Urticaria papular,1
Uterine leiomyosarcoma,1
Vaginal abscess,4
Vaginal mucosal blistering,2
Vaginitis gardnerella,1
Varicella zoster pneumonia,2
Vascular malformation,5
Vascular pseudoaneurysm,13
Ventilation/perfusion scan,2
Vertebrobasilar insufficiency,1
Vertigo CNS origin,1
Very low density lipoprotein increased,4
Vesicoureteric reflux,1
Vessel puncture site pain,1
Vestibular disorder,4
Viral load increased,9
Vital capacity decreased,9
Vital functions abnormal,2
Vitamin C decreased,3
Vitamin D increased,1
Vitamin K deficiency,1
Waxy flexibility,7
Wound treatment,2
Writer's cramp,3
X-ray abnormal,4
Xanthelasma,2
ACTH stimulation test abnormal,4
AIDS dementia complex,3
AIDS related complication,1
Abdominal wall cyst,4
Abortion induced incomplete complicated,2
Abortion threatened,14
Accessory auricle,13
Acquired amegakaryocytic thrombocytopenia,13
Acquired epileptic aphasia,2
Acute fatty liver of pregnancy,5
Acute graft versus host disease in intestine,2
Adenocarcinoma metastatic,3
Adenosquamous cell lung cancer stage IV,2
Adenovirus test,4
Adjusted calcium,1
Adrenal gland cancer metastatic,5
Alexia,4
Alpha-1 anti-trypsin abnormal,1
Amino acid level abnormal,1
Amniotic fluid index abnormal,1
Amniotic membrane graft,3
Amygdalotomy,2
Amyloid related imaging abnormalities,2
Anaemia neonatal,40
Anal cancer recurrent,1
Anal candidiasis,1
Anal injury,2
Anamnestic reaction,1
Anaplastic thyroid cancer,4
Anastomotic stenosis,5
Anembryonic gestation,8
Anomaly of middle ear congenital,1
"Anomaly of orbit, congenital",1
Anorectal human papilloma virus infection,1
Anorectal infection bacterial,4
Anorectal swelling,7
Anotia,2
Anti-glomerular basement membrane antibody,2
Apgar score abnormal,2
Appendiceal mucocoele,1
Appendicitis noninfective,2
Application site wound,2
Arrhythmia neonatal,8
Arterial therapeutic procedure,5
Arteriogram coronary,2
Arteriovenous fistula site complication,2
Arteriovenous fistula site haemorrhage,7
Articular calcification,5
Artificial menopause,2
Asperger's disorder,19
Atelectasis neonatal,7
Atherosclerosis prophylaxis,1
B-cell lymphoma stage IV,6
Behavioural and psychiatric symptoms of dementia,2
Benign abdominal neoplasm,3
Benign hepatic neoplasm,1
Benign rolandic epilepsy,2
Bilateral breast buds,4
Bile duct cancer stage IV,2
Biliary catheter insertion,1
Biopsy lung abnormal,1
Biopsy lymph gland,2
Biopsy lymph gland abnormal,1
Biopsy uterus abnormal,1
Bladder cancer stage III,1
Bladder hypertrophy,9
Blindness cortical,5
Blindness traumatic,2
Blood albumin abnormal,3
Blood alcohol,2
Blood calcitonin increased,1
Blood carbon monoxide increased,1
Blood cortisol increased,8
Blood creatine phosphokinase MB,1
Blood gastrin increased,1
Blood growth hormone abnormal,1
Blood heavy metal increased,2
Blood lactic acid decreased,7
Blood magnesium increased,6
Blood parathyroid hormone abnormal,2
Blood parathyroid hormone decreased,24
Blood pressure,2
Blood prolactin,2
Body dysmorphic disorder,9
Bone callus excessive,1
Bone development abnormal,5
Bone formation decreased,4
Bone prosthesis insertion,1
Borderline ovarian tumour,4
Borderline serous tumour of ovary,4
Brachycephaly,6
Brachydactyly,12
Brain natriuretic peptide abnormal,2
Branchial cyst,1
Breast complication associated with device,2
Breast milk discolouration,1
Bronchostenosis,1
Brunner syndrome,1
Brunner's gland hyperplasia,3
Buccal mucosal roughening,1
Bullous erysipelas,3
Burns first degree,4
Burns fourth degree,3
C-reactive protein,1
C-telopeptide increased,1
CD4/CD8 ratio decreased,2
CSF myelin basic protein increased,1
CSF volume increased,4
Carbohydrate tolerance increased,2
Cardiac contusion,1
Cardiac murmur functional,1
Cardiac sarcoidosis,3
Cardiac valve replacement complication,1
Cardiac ventricular disorder,5
Cataract operation complication,7
Catheter site injury,6
Catheter site related reaction,2
Cellulitis of male external genital organ,7
Central nervous system vasculitis,12
Central-alveolar hypoventilation,1
Child abuse,42
Childhood disintegrative disorder,3
Chondromatosis,4
Chronic actinic dermatitis,6
Chronic graft versus host disease in skin,1
Chronic villitis of unknown etiology,7
Ciliary hyperaemia,2
Cinchonism,2
Cirrhosis alcoholic,4
Cleft uvula,2
Coagulation factor decreased,2
Cold burn,2
Cold urticaria,12
Complication of delivery,1
Congenital abdominal hernia,1
Congenital acrochordon,5
Congenital aortic stenosis,5
Congenital aortic valve incompetence,5
Congenital central hypoventilation syndrome,6
Congenital cleft hand,21
Congenital coagulopathy,2
Congenital coronary artery malformation,1
Congenital cytomegalovirus infection,1
Congenital deformity of clavicle,1
Congenital flat feet,3
Congenital gastric anomaly,6
Congenital hydrocephalus,97
Congenital hypothyroidism,9
Congenital intestinal malformation,1
Congenital mitral valve incompetence,5
Congenital multiplex arthrogryposis,11
Congenital musculoskeletal anomaly,47
Congenital oesophageal anomaly,1
Congenital pseudarthrosis,4
Congenital pulmonary hypertension,21
Congenital umbilical hernia,3
Congenital urethral anomaly,1
Congenital uterine anomaly,8
Conjunctival erosion,4
Contraception,2
Cor triatriatum,2
Coronary artery dilatation,1
Corrosive oropharyngeal injury,10
Coxsackie myocarditis,1
Creatinine urine,2
Cryptococcal cutaneous infection,2
Cutaneous tuberculosis,1
Deafness permanent,1
Dehiscence,6
Delayed puberty,4
Dermatosis,9
Device extrusion,1
DiGeorge's syndrome,1
Diabetic nephropathy,4
Diastasis recti abdominis,4
Diastolic hypertension,2
Diffuse large B-cell lymphoma stage II,3
Diffuse large B-cell lymphoma stage III,1
Disinfectant poisoning,1
Drain site complication,5
Drug physiologic incompatibility,2
Ductus arteriosus premature closure,6
Ductus arteriosus stenosis foetal,16
Duodenal ulcer repair,9
Dysmetria,5
Dystonic tremor,11
Dystrophic calcification,1
Ear infection viral,2
Ebstein's anomaly,5
Echolalia,4
Emergency care examination,4
Encephalitis allergic,1
Encephalitis toxic,1
Encephalocele,3
Endocardial fibroelastosis,1
Endotoxaemia,1
Enterobacter sepsis,2
Eosinopenia,3
Epidural analgesia,3
Epidural lipomatosis,7
Epiphysiolysis,1
Erythroblastosis foetalis,1
Expired device used,8
Eye penetration,1
Eyelid scar,2
Eyelid thickening,1
Faecal volume decreased,1
Failed induction of labour,13
Fallopian tube obstruction,2
Fatty acid deficiency,1
Fear of death,7
Febrile convulsion,7
Femoral anteversion,5
Fibroma,4
Finger repair operation,1
Flatfoot reconstruction,1
Foetal heart rate decreased,4
Follicular thyroid cancer,3
Gastric cancer stage 0,2
Generalised onset non-motor seizure,3
Genital candidiasis,3
Gingivitis ulcerative,5
Glomerulonephritis membranoproliferative,5
Glutamate dehydrogenase increased,1
Graft infection,1
Graft versus host disease in liver,8
Gram stain positive,1
HER-2 positive breast cancer,5
Haematocolpos,4
Haematological malignancy,2
Hair transplant,1
Heat oedema,1
Heavy chain disease,1
Hepatic angiosarcoma,1
Hepatic infarction,2
Hepatic vein thrombosis,9
Hernia hiatus repair,2
Hernia obstructive,2
Hiatus hernia strangulated,2
Hilar lymphadenopathy,1
Hippocampal sclerosis,12
Histrionic personality disorder,2
Holoprosencephaly,1
House dust allergy,1
Human chorionic gonadotropin decreased,1
Human rhinovirus test positive,1
Hyperadrenalism,1
Hyperdynamic left ventricle,2
Hypergeusia,2
Hyperglycaemic crisis,2
Hyperplasia,7
Hyperviscosity syndrome,2
Hypoglycaemia unawareness,5
Hypoglycaemic encephalopathy,5
Hypoprolactinaemia,2
Idiopathic partial epilepsy,1
Idiopathic pneumonia syndrome,2
Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma,1
Immune-mediated necrotising myopathy,12
Implant site discharge,2
Implant site hypoaesthesia,2
Implant site mass,1
Implant site rash,4
Implant site swelling,1
Implantable cardiac monitor replacement,1
Infected dermal cyst,5
Inflammatory myofibroblastic tumour,4
Infusion site dermatitis,1
Infusion site haematoma,1
Infusion site hypoaesthesia,3
Infusion site injury,4
Ingrown hair,3
Injection site calcification,1
Intelligence test abnormal,1
Intentional product misuse to child,1
Intercostal neuralgia,1
Internal fixation of fracture,3
Intestinal adenocarcinoma,1
Intestinal mucosal hypertrophy,1
Intestinal scarring,1
Intracranial venous sinus thrombosis,5
Intrauterine infection,2
Keratomileusis,6
Lactobacillus infection,2
Laryngeal mass,5
Laryngitis viral,1
Lennox-Gastaut syndrome,1
Leukaemoid reaction,2
Leukoplakia,1
Lhermitte's sign,1
Ligament disorder,1
Lip discolouration,4
Lipase abnormal,1
Liver operation,3
Ludwig angina,3
Lymphadenopathy mediastinal,3
Malignant neoplasm of thymus,1
Mass excision,3
Maternal exposure via partner during pregnancy,1
Medical observation abnormal,2
Melanocytic hyperplasia,1
Meningococcal infection,2
Meniscal degeneration,2
Merycism,5
Metastases to spinal cord,1
Metatarsalgia,1
Microscopic polyangiitis,2
Microsleep,1
Mumps,9
Mutism,9
Mycoplasma infection,6
Myxoedema,1
Nasopharyngeal surgery,2
Natural killer cell count increased,1
Neonatal behavioural syndrome,15
Neonatal dyspnoea,2
Nephrocalcinosis,4
Nephrosclerosis,1
Neural tube defect,4
Neurodevelopmental disorder,1
Neuromuscular block prolonged,1
Nodal arrhythmia,9
Nodular melanoma,4
Non-Hodgkin's lymphoma stage IV,2
Nuclear magnetic resonance imaging brain abnormal,1
Ocular cancer metastatic,1
Oligohydramnios,5
Onychophagia,4
Optic nerve hypoplasia,4
Oral mucosal discolouration,1
Orbital myositis,2
Oropharyngeal plaque,2
Orthopnoea,4
Ovarian cancer stage IV,4
Overgrowth bacterial,4
PO2 decreased,4
Pacemaker generated arrhythmia,3
Paediatric acute-onset neuropsychiatric syndrome,6
Painful ejaculation,8
Pancreatic duct dilatation,2
Pancreatic duct obstruction,1
Paraproteinaemia,2
Paraspinal abscess,1
Parent-child problem,2
Paternal exposure before pregnancy,2
Pelvi-ureteric obstruction,2
Pelvic congestion,5
Penile curvature,2
Peripheral T-cell lymphoma unspecified,1
Phenylketonuria,2
Phospholipidosis,18
Phyllodes tumour,2
Placenta praevia,4
Pleural fluid analysis,1
Pleurisy viral,1
Pneumonia mycoplasmal,1
Polychondritis,2
Polymyositis,16
Poor school attendance,3
Portal hypertensive gastropathy,1
Portal tract inflammation,1
Post abortion haemorrhage,4
Post procedural erythema,1
Post viral fatigue syndrome,7
Postoperative analgesia,1
Postpartum anxiety,3
Prerenal failure,9
Primary ciliary dyskinesia,1
Procedural nausea,1
Procedural site reaction,1
Product contamination chemical,1
Product quality control issue,3
Promiscuity,1
Prosthesis implantation,1
Prothrombin level decreased,5
Prothrombin time abnormal,2
Pseudomonal sepsis,8
Pulmonary artery stenosis congenital,5
Pulmonary fistula,2
Pulmonary haemosiderosis,3
Pulmonary oil microembolism,1
Radiation oesophagitis,3
Rectal prolapse repair,1
Refractory cytopenia with unilineage dysplasia,1
Renal artery dissection,2
Renal vein compression,1
Renal vein thrombosis,2
Restless leg augmentation syndrome,1
Retinal oedema,10
Retinal phototoxicity,6
Retinal thickening,1
Retinoschisis,1
Rotavirus infection,3
SARS-CoV-2 antibody test positive,4
Salivary duct inflammation,1
Scrotal oedema,1
Secondary tic,2
Seizure cluster,7
Semen viscosity abnormal,6
Senile osteoporosis,2
Serum amyloid A protein increased,8
Shared psychotic disorder,1
Shock symptom,1
Skin discharge,1
Small intestine adenocarcinoma,1
Soft tissue haemorrhage,2
Somatic symptom disorder of pregnancy,7
Spermatozoa abnormal,1
Spinal nerve stimulator removal,1
Streptococcus test positive,1
Subchorionic haemorrhage,5
Sudden unexplained death in epilepsy,6
Superficial siderosis of central nervous system,2
Superimposed pre-eclampsia,1
Superinfection fungal,2
Suprapubic pain,2
Suspected product tampering,2
Suture rupture,2
Sweat discolouration,2
Sympathetic ophthalmia,1
Synaesthesia,1
Systemic scleroderma,1
Tandem gait test abnormal,3
Teratogenicity,2
Terminal ileitis,1
Theft,7
Tinea cruris,2
Tobacco interaction,1
Tooth agenesis,1
Tooth demineralisation,7
Toxic anterior segment syndrome,1
Toxoplasmosis,1
Transient aphasia,1
Traumatic intracranial haemorrhage,4
Trigger points,1
Typical aura without headache,1
Ureteric operation,1
Urethral cyst,1
Urinary tract infection pseudomonal,1
Urine amphetamine negative,1
Urine calcium increased,6
Urogenital disorder,1
Urticarial vasculitis,5
Uterine contractions during pregnancy,4
Uterine spasm,5
Vaginal erosion,1
Vanishing twin syndrome,7
Vascular graft infection,2
Vestibular neuronitis,6
Victim of child abuse,9
Viral uveitis,2
Visual acuity reduced transiently,3
Vitamin B1 increased,4
Vth nerve injury,1
Vulval eczema,1
Vulval haematoma,3
Wound abscess,1
Wrong drug,5
Xanthopsia,5
Abdominal incarcerated hernia,2
Aspiration of gastric residual,1
Atlantoaxial subluxation,1
Autonomic failure syndrome,4
Cutis verticis gyrata,1
Cystitis bacterial,4
Dissociative amnesia,5
Drug chemical incompatibility,1
Enzyme inhibition,3
Erotomanic delusion,1
Exposure to household chemicals,2
Factor XIII deficiency,12
False positive tuberculosis test,2
Hip deformity,3
Human herpesvirus 6 encephalitis,2
Imperception,1
Infusion site papule,1
Latent autoimmune diabetes in adults,4
Lip haematoma,1
Lipids abnormal,7
Medial tibial stress syndrome,1
Motor developmental delay,9
Mucosal membrane hyperplasia,1
Myoglobin urine present,53
Neuroleptic-induced deficit syndrome,3
Neutrophil percentage decreased,1
Ophthalmic migraine,2
Ophthalmoplegia,4
PCO2 decreased,1
Respiratory fatigue,6
Urinary incontinence surgery,1
Muscle swelling,2
Platelet-derived growth factor receptor gene mutation,2
5'nucleotidase increased,9
Acinetobacter infection,33
Aortic aneurysm rupture,12
Atypical mycobacterial pneumonia,3
Autoimmune lung disease,2
B-cell type acute leukaemia,2
Benign soft tissue neoplasm,7
Dysbiosis,1
Exposure via transplant,18
Frontotemporal dementia,11
Gastrointestinal candidiasis,1
Genital prolapse,4
Haemodialysis complication,1
Haemorrhagic necrotic pancreatitis,1
Infected neoplasm,2
Joint injection,1
Levator syndrome,8
Lipoatrophy,6
Mucocutaneous ulceration,1
Mucous membrane disorder,5
Pseudomembranous colitis,5
Thymus disorder,6
Vertebral artery occlusion,8
Accessory cardiac pathway,2
Acne fulminans,2
Actinomycotic skin infection,1
Acute right ventricular failure,4
Adams-Stokes syndrome,3
Allergic hepatitis,2
Allogenic stem cell transplantation,1
Alveolar proteinosis,11
Ammonia,2
Amphetamines,3
Anal cancer stage 0,1
Anal neoplasm,3
Anti-JC virus antibody index,1
Aqueductal stenosis,2
Asplenia,1
"Astrocytoma, low grade",4
Auditory nerve disorder,1
Autoimmune anaemia,1
Autoimmune uveitis,5
BRAF V600E mutation positive,1
Bacillus test positive,1
Bacterial abdominal infection,3
Basilar artery thrombosis,8
Bed bug infestation,2
Benign neoplasm of cervix uteri,1
Benzodiazepine drug level,1
Bifascicular block,27
Biliary drainage,2
Bladder cancer stage IV,5
Blood bicarbonate abnormal,4
Blood bicarbonate increased,7
Blood bilirubin abnormal,7
Blood methaemoglobin present,3
Blood pH increased,6
Blood pressure orthostatic,5
Body modification,1
Bone fistula,2
Bone marrow necrosis,1
Brain stem ischaemia,2
Breakthrough haemolysis,1
Breast oedema,1
Bronchial artery embolisation,2
Bronchial wall thickening,3
Bronchitis moraxella,1
Brown-Sequard syndrome,6
Campylobacter colitis,7
Candiduria,2
Capillary permeability increased,1
Carbohydrate tolerance decreased,4
Cardiac perfusion defect,1
Cardio-respiratory distress,13
Cardiorenal syndrome,2
Cerebral amyloid angiopathy,3
Cerebrospinal fluid retention,1
Cervix haemorrhage uterine,3
Chondrocalcinosis,3
Chondrosarcoma,3
Chronic leukaemia,2
Chronic lymphocytic leukaemia recurrent,2
Chronic rhinosinusitis with nasal polyps,1
Ciliary muscle spasm,1
Citrobacter bacteraemia,1
Coeliac artery aneurysm,1
Congenital cerebrovascular anomaly,11
Congenital hyperinsulinaemic hypoglycaemia,4
Congenital hypogonadotropic hypogonadism,2
Congenital pharyngeal anomaly,6
Congenital scoliosis,4
Congenital tricuspid valve stenosis,8
Connective tissue neoplasm,1
Corneal operation,3
Coronary artery embolism,1
Cryptogenic cirrhosis,1
Crystal arthropathy,9
Deafness congenital,5
Death of companion,1
Decompensated hypothyroidism,1
"Delusional disorder, persecutory type",11
Denture wearer,3
Deposit eye,3
Dermatitis diaper,3
Desmoid tumour,4
Diabetic wound,2
Diffuse panbronchiolitis,2
Dilatation intrahepatic duct acquired,1
Distal intestinal obstruction syndrome,23
Disuse syndrome,1
Drug half-life increased,4
Duodenal varices,2
Dyskinesia oesophageal,3
Echinococciasis,8
Eczema weeping,2
Electrocardiogram PQ interval prolonged,1
Electrocardiogram T wave amplitude decreased,4
Enanthema,7
Eosinophilic cellulitis,12
Eosinophilic pleural effusion,25
Epididymal disorder,1
Epiglottitis obstructive,1
Erysipeloid,1
Exposure to chemical pollution,1
Extensive swelling of vaccinated limb,2
Eye excision,3
Factor IX inhibition,1
Flail chest,2
Fluid intake restriction,4
Forced expiratory volume abnormal,3
Frenulum breve,2
Galactostasis,1
Gastric antral vascular ectasia,1
Gastroenteropancreatic neuroendocrine tumour disease,1
Gastrointestinal tube removal,1
Gastrostomy tube removal,2
Genital erosion,3
Gliosis,5
Glossoptosis,4
Greater trochanteric pain syndrome,1
Haematoma evacuation,1
Haemorrhagic cyst,5
Haemorrhagic hepatic cyst,7
Head banging,2
Head deformity,3
Hepatitis B DNA assay positive,1
Herpes simplex test positive,2
Herpes simplex viraemia,2
Human polyomavirus infection,7
Hyperbilirubinaemia neonatal,13
Hypercalcitoninaemia,1
Hypereosinophilic syndrome,2
Hyperinsulinaemic hypoglycaemia,3
Hypermagnesaemia,7
Hypervitaminosis A,1
Hypo HDL cholesterolaemia,1
Hypopituitarism foetal,1
Hypoplastic anaemia,1
Hypothalamic pituitary adrenal axis suppression,1
Iliac artery embolism,2
Illiteracy,3
Immune-mediated pancreatitis,1
Incarcerated umbilical hernia,2
Infant irritability,2
Infection reactivation,2
Injection site granuloma,2
Instillation site discomfort,1
Intestinal villi atrophy,1
Intracardiac pressure increased,1
Iron metabolism disorder,1
Ischaemic pancreatitis,1
Jamestown Canyon virus infection,1
Keratitis viral,1
Lack of application site rotation,1
Laryngeal necrosis,1
Laryngitis fungal,1
Laryngomalacia,2
Lip neoplasm malignant stage unspecified,4
Lipase decreased,1
Lower motor neurone lesion,1
Lung carcinoma cell type unspecified stage II,2
Lung squamous cell carcinoma stage III,1
Lymphoma transformation,1
Macular telangiectasia,1
Magnetic resonance elastography,1
Malignant blue naevus,4
Malignant neoplasm of unknown primary site,5
Meconium aspiration syndrome,2
Mediastinal disorder,2
Medical device site fistula,2
Meningioma surgery,2
Meningomyelocele,6
Monocytosis,3
Multiple congenital abnormalities,4
Myelodysplastic syndrome transformation,5
Myopic traction maculopathy,1
Nail bed disorder,6
Nasal obstruction,8
Neonatal seizure,7
Nephroangiosclerosis,1
Non-infectious endophthalmitis,4
Non-small cell lung cancer stage IIIA,2
Oesophageal squamous cell carcinoma,5
Oral bacterial infection,3
Oropharyngeal squamous cell carcinoma,2
Orthostatic intolerance,2
Osteoradionecrosis,2
Pacemaker generated rhythm,1
Pachymeningitis,3
Paraneoplastic dermatomyositis,2
Parenteral nutrition,2
Parenteral nutrition associated liver disease,1
Pelvic cyst,1
Pelvic mass,4
Penile gangrene,2
Perianal streptococcal infection,3
Perineal ulceration,2
Peripheral nerve paresis,2
Peripheral vein thrombosis,2
Peritoneal cloudy effluent,1
Pharyngeal neoplasm benign,1
Phlebitis superficial,9
Pituitary stalk interruption syndrome,1
Pneumonia serratia,2
Polymerase chain reaction positive,4
Polyserositis,1
Postictal paralysis,2
Postoperative delirium,1
Poverty of speech,4
Precancerous lesion of digestive tract,4
Product closure issue,1
Prophylaxis against transplant rejection,2
Prostatic abscess,1
Prostatic pain,6
Prostatic specific antigen decreased,2
Pseudodementia,9
Pulmonary arterial pressure abnormal,1
Pulmonary radiation injury,1
Punctate keratitis,2
Quadriparesis,7
Radial nerve injury,2
Rectal neoplasm,5
Rectal polyp,6
Regressive behaviour,3
Renal arteriovenous malformation,1
Resorption bone increased,3
Respiratory tract haemorrhage,1
Respite care,1
Retinal artery thrombosis,3
Retinal neovascularisation,2
Rheumatic heart disease,1
Right aortic arch,1
Sarcopenia,1
Scan abnormal,2
Sebaceous cyst excision,5
Sensory processing disorder,4
Septo-optic dysplasia,1
Sinoatrial block,15
Skin bacterial infection,1
Social fear,2
Sphingomonas paucimobilis bacteraemia,1
Spinal stroke,2
Sporotrichosis,2
Squamous cell carcinoma of the hypopharynx,2
Steatorrhoea,6
Stiff leg syndrome,1
Strangury,6
Superior mesenteric artery syndrome,1
Suspiciousness,1
Systemic toxicity,3
T-cell lymphoma,1
Tetany,4
Thymectomy,1
Thyroid size decreased,1
Tongue abscess,4
Tongue fungal infection,1
Toxic nodular goitre,1
Tracheal pain,1
Transferrin saturation decreased,1
Tumefactive multiple sclerosis,4
Ureteric cancer,3
Ureteric stenosis,5
Urinary straining,3
Urine electrolytes abnormal,3
VIth nerve paralysis,9
Vaginal cuff dehiscence,5
Vascular dementia,3
Ventricular hypoplasia,2
Vertebral foraminal stenosis,5
Vesical fistula,3
Visceral oedema,3
Vitamin B6 deficiency,2
Vocal cord paresis,5
Vulvar adenocarcinoma,1
Vulvovaginal disorder,1
Vulvovaginal swelling,3
Cardiometabolic syndrome,14
ECG signs of myocardial ischaemia,1
Abdominal hernia perforation,2
Abscess of eyelid,2
Absent bowel movement,1
Administration site irritation,2
Administration site scab,1
Allergic stomatitis,2
Angioimmunoblastic T-cell lymphoma stage IV,2
Arteriovenous graft site infection,1
Atherosclerotic plaque rupture,3
Bartonellosis,1
Bendopnoea,1
Cardiac steatosis,8
Catheter site pruritus,2
Constipation prophylaxis,1
Dengue virus test positive,1
Diversion colitis,4
Dysaesthesia pharynx,3
Endocrine hypertension,1
Facial wasting,1
Fixed drug eruption,1
Gliomatosis cerebri,4
Gonadotrophin deficiency,2
Hangnail,1
Hypoglossal nerve paralysis,1
Illogical thinking,1
Lower gastrointestinal perforation,1
Lower urinary tract symptoms,12
Male reproductive tract disorder,1
Meningoencephalitis viral,1
Microangiopathy,2
Minimal residual disease,1
Mucosal erosion,5
Nasal cavity packing,1
Osteoma cutis,1
Palpatory finding abnormal,1
Perfume sensitivity,3
Perineal disorder,2
Pleural rub,4
Postoperative respiratory distress,1
Reaction to preservatives,2
Renal cell carcinoma stage II,8
Sensory overload,3
Stab wound,4
Steroid therapy,2
Thrombotic cerebral infarction,3
Trigeminal neuritis,1
Trigemino-cardiac reflex,1
Urea cycle disorder,2
Urethritis,2
Vaginal prolapse,2
Ventricular tachyarrhythmia,2
Vertebral column mass,2
Vulvovaginal rash,1
ABO haemolytic disease of newborn,4
Abortion of ectopic pregnancy,8
Acquired phimosis,2
Acquired tracheo-oesophageal fistula,1
Acral overgrowth,2
Acral peeling skin syndrome,1
Adrenogenital syndrome,2
Agonal rhythm,2
Allergic transfusion reaction,1
Amyloidosis senile,2
Anaesthetic complication pulmonary,1
Anal fistula excision,2
Anaphylactoid shock,3
Anorchism,1
Anti A antibody positive,1
Anti-GAD antibody positive,2
Anti-myelin-associated glycoprotein antibodies positive,2
Apert's syndrome,4
Appendix cancer,2
Aspartate aminotransferase,4
Athetosis,4
Autoimmune hypothyroidism,3
Avian influenza,1
Barium swallow,2
Baseline foetal heart rate variability disorder,1
Bicuspid pulmonary valve,6
Biliary anastomosis complication,1
Biliary neoplasm,1
Biopsy bone,1
Birth trauma,5
Blood aldosterone abnormal,5
Blood aldosterone decreased,1
Blood beta-D-glucan increased,3
Brachial artery entrapment syndrome,2
Breast prosthesis removal,2
Bronchial fistula,1
Bronchogenic cyst,24
CHA2DS2-VASc annual stroke risk high,1
CSF immunoglobulin increased,2
Cardiac septal hypertrophy,2
Cardioactive drug level decreased,6
Carotid sinus syndrome,26
Catheter site fibrosis,1
Caudal regression syndrome,10
Cerebellar cognitive affective syndrome,1
Cerebellar hypoplasia,5
Cerebral atrophy congenital,4
Cerebral haemangioma,4
Chemokine increased,1
Cholelithiasis obstructive,3
Chronic hepatitis B,4
Chronic myeloid leukaemia (in remission),2
Clinodactyly,18
Clinomania,2
Cloacal exstrophy,1
Clonal evolution,1
Coagulation factor V level decreased,7
Coagulation time,1
Cold type haemolytic anaemia,10
Congenital bowing of long bones,1
Congenital condyloma,1
Congenital elevation of scapula,1
Congenital floppy infant,1
Congenital genital malformation,1
Congenital genitourinary abnormality,1
Congenital great vessel anomaly,1
Congenital neuropathy,1
Congenital optic nerve anomaly,1
Congenital spinal cord anomaly,3
Congenital thyroid disorder,2
Congenital tracheomalacia,1
Congenital tricuspid valve incompetence,4
Conjunctival pallor,1
Conjunctivitis bacterial,1
Cor pulmonale chronic,4
Corneal infection,2
Cystoscopy abnormal,1
Cytomegalovirus enterocolitis,2
Deficiency anaemia,3
Dental dysaesthesia,1
Dental plaque,1
Dental pulp disorder,1
Diffuse lamellar keratitis,1
Disorder of sex development,1
Double outlet right ventricle,1
Double ureter,2
Duodenitis haemorrhagic,1
Electrocardiogram Q waves,1
Empty sella syndrome,1
Encopresis,1
Enterobiasis,1
Enterococcus test positive,5
Enzyme level abnormal,1
Epiglottic mass,1
Excessive sexual fantasies,2
Exhibitionism,6
Extravasation blood,1
Eye degenerative disorder,2
Eye operation complication,1
Eyelid haematoma,2
Eyelid ptosis congenital,5
Factor VII deficiency,1
Femoral artery occlusion,2
Femoral hernia incarcerated,2
Foetal malpresentation,2
Foetal movement disorder,5
Gallbladder cancer stage IV,1
Gallbladder non-functioning,2
