pt,no_events_global
Platypnoea,1
Platypnoea-orthodeoxia syndrome,4
Platyspondylia,1
Pleocytosis,23
Pleomorphic adenoma,24
Pleomorphic leiomyosarcoma,3
Pleomorphic liposarcoma,3
Pleomorphic malignant fibrous histiocytoma,17
Pleomorphism,5
Plethoric face,1
Plethysmography,1
Pleural adhesion,9
Pleural calcification,2
Pleural cyst,1
Pleural decortication,1
Pleural disorder,49
Pleural effusion,6633
Pleural fibrosis,25
Pleural fistula,6
Pleural fluid analysis,1
Pleural fluid analysis abnormal,2
Pleural infection,38
Pleural infection bacterial,7
Pleural mass,2
Pleural mesothelioma,33
Pleural mesothelioma malignant,28
Pleural mesothelioma malignant recurrent,1
Pleural neoplasm,15
Pleural operation,1
Pleural rub,1
Pleural sarcoma,4
Pleural thickening,35
Pleurectomy,2
Pleurisy,829
Pleurisy bacterial,3
Pleurisy viral,1
Pleuritic pain,128
Pleurocutaneous fistula,2
Pleurodesis,10
Pleuroparenchymal fibroelastosis,30
Pleuropericarditis,80
Pleuroperitoneal communication,31
Pleuropulmonary blastoma,3
Pleurothotonus,289
Plica syndrome,4
Plicated tongue,55
Pneumatosis,47
Pneumatosis intestinalis,872
Pneumaturia,11
Pneumobilia,8
Pneumocentesis,4
Pneumocephalus,23
Pneumococcal bacteraemia,17
Pneumococcal infection,68
Pneumococcal sepsis,109
Pneumoconiosis,35
Pneumocystis jirovecii infection,195
Pneumocystis jirovecii pneumonia,2917
Pneumocystis test positive,4
Pneumomediastinum,222
Pneumonectomy,31
Pneumonia,67328
Pneumonia acinetobacter,23
Pneumonia adenoviral,26
Pneumonia anthrax,2
Pneumonia aspiration,3548
Pneumonia bacterial,1703
Pneumonia blastomyces,6
Pneumonia bordetella,1
Pneumonia chlamydial,18
Pneumonia cryptococcal,232
Pneumonia cytomegaloviral,244
Pneumonia escherichia,34
Pneumonia fungal,687
Pneumonia haemophilus,64
Pneumonia helminthic,1
Pneumonia herpes viral,6
Pneumonia influenzal,276
Pneumonia klebsiella,126
Pneumonia legionella,351
Pneumonia lipoid,31
Pneumonia measles,4
Pneumonia moraxella,12
Pneumonia mycoplasmal,122
Pneumonia necrotising,80
Pneumonia parainfluenzae viral,42
Pneumonia pneumococcal,234
Pneumonia proteus,1
Pneumonia pseudomonal,270
Pneumonia respiratory syncytial viral,166
Pneumonia salmonella,1
Pneumonia serratia,9
Pneumonia staphylococcal,175
Pneumonia streptococcal,144
Pneumonia toxoplasmal,2
Pneumonia viral,549
Pneumonitis,6725
Pneumonitis aspiration,44
Pneumonitis chemical,77
Pneumopericardium,14
Pneumoperitoneum,186
Pneumoretroperitoneum,8
Pneumorrhachis,4
Pneumothorax,2696
Pneumothorax spontaneous,229
Pneumothorax traumatic,15
Pneumovirus test positive,3
PO2 abnormal,1
PO2 decreased,22
PO2 increased,1
Pocket erosion,12
POEMS syndrome,23
Poikilocytosis,3
Poikiloderma,6
Poisoning,1165
Poisoning deliberate,1414
Poland's syndrome,2
Poliomyelitis,4
Poliovirus test positive,1
Pollakiuria,4349
Polyarteritis nodosa,129
Polyarthritis,831
Polychondritis,94
Polychromasia,4
Polycystic liver disease,10
Polycystic ovarian syndrome,7
Polycystic ovaries,178
Polycythaemia,349
Polycythaemia neonatorum,3
Polycythaemia vera,175
Polydactyly,82
Polydipsia,181
Polydipsia psychogenic,6
Polyglandular autoimmune syndrome type II,12
Polyglandular autoimmune syndrome type III,3
Polyglandular disorder,9
Polyhydramnios,58
Polymenorrhagia,13
Polymenorrhoea,423
Polymerase chain reaction,6
Polymerase chain reaction positive,52
Polymers allergy,5
Polymicrogyria,2
Polymorphic eruption of pregnancy,5
Polymorphic light eruption,16
Polymyalgia rheumatica,569
Polymyositis,307
Polyneuropathy,2434
Polyneuropathy alcoholic,2
Polyneuropathy chronic,6
Polyneuropathy idiopathic progressive,9
Polyneuropathy in malignant disease,8
Polyomavirus-associated nephropathy,449
Polyomavirus test positive,33
Polyomavirus viraemia,211
Polyp,744
Polypectomy,81
Polypoidal choroidal vasculopathy,90
Polyradiculoneuropathy,7
Polyserositis,48
Polysubstance dependence,10
Polyuria,581
Poor dental condition,30
Poor feeding infant,77
Poorly differentiated thyroid carcinoma,3
Poor milk ejection reflex,2
Poor peripheral circulation,380
Poor personal hygiene,16
Poor quality device used,1621
Poor quality drug administered,974
Poor quality product administered,2298
Poor quality sleep,1557
Poor response to ovulation induction,3
Poor school attendance,2
Poor sucking reflex,5
Poor venous access,1462
Poor weight gain neonatal,10
Popliteal artery entrapment syndrome,1
Popliteal pulse,2
Porcelain gallbladder,6
Porencephaly,1
Poriomania,8
Porocarcinoma,8
Porokeratosis,84
Porphyria,59
Porphyria acute,234
Porphyria non-acute,110
Porphyromonas bacteraemia,1
Portal fibrosis,17
Portal hypertension,289
Portal hypertensive enteropathy,1
Portal hypertensive gastropathy,26
Portal shunt,6
Portal shunt procedure,12
Portal tract inflammation,1
Portal vein cavernous transformation,11
Portal vein dilatation,12
Portal vein embolisation,5
Portal vein embolism,1
Portal vein flow decreased,2
Portal vein occlusion,6
Portal vein phlebitis,3
Portal vein pressure increased,4
Portal vein stenosis,5
Portal vein thrombosis,476
Portal venous gas,38
Portal venous system anomaly,1
Portopulmonary hypertension,14
Portosplenomesenteric venous thrombosis,28
Positional therapy,1
Positive airway pressure therapy,26
Positive end-expiratory pressure,2
Positron emission tomogram,6
Positron emission tomogram abnormal,93
Post 5-alpha-reductase inhibitor syndrome,80
Post ablation syndrome,1
Post abortion complication,3
Post abortion haemorrhage,40
Post abortion infection,4
Post-acute COVID-19 syndrome,216
Post angioplasty restenosis,2
Post-anoxic myoclonus,4
Post cardiac arrest syndrome,5
Post cholecystectomy syndrome,2
Post coital contraception,1
Post concussion syndrome,27
Post-depletion B-cell recovery,61
Post embolisation syndrome,11
Posterior capsule opacification,46
Posterior capsule rupture,11
Posterior cortical atrophy,5
Posterior fossa decompression,1
Posterior fossa syndrome,1
Posterior reversible encephalopathy syndrome,2860
Posterior segment of eye anomaly,1
Posterior tibial tendon dysfunction,7
Posthaemorrhagic hydrocephalus,7
Post herpetic neuralgia,125
Postictal headache,1
Postictal paralysis,21
Postictal psychosis,22
Postictal state,34
Postinfarction angina,1
Post infection glomerulonephritis,16
Post inflammatory pigmentation change,66
Post-injection delirium sedation syndrome,238
Post intensive care syndrome,4
Post laminectomy syndrome,6
Post lumbar puncture syndrome,318
Postmastectomy lymphoedema syndrome,2
Postmature baby,5
Postmenopausal haemorrhage,585
Postmenopause,7
Post micturition dribble,3
Postmortem blood drug level,18
Postmortem blood drug level abnormal,133
Postmortem blood drug level increased,48
Postnatal growth restriction,1
Postoperative abscess,63
Postoperative adhesion,36
Postoperative analgesia,2
Postoperative care,7
Postoperative delirium,49
Postoperative fever,5
Postoperative hernia,3
Postoperative hypertension,2
Postoperative hypotension,1
Postoperative ileus,89
Postoperative lymphocele,2
Postoperative pathological diuresis,1
Postoperative renal failure,8
Postoperative respiratory distress,5
Postoperative respiratory failure,14
Postoperative stitch sinus,1
Postoperative thoracic procedure complication,5
Postoperative thrombosis,96
Postoperative wound complication,116
Postoperative wound infection,998
Postpartum anxiety,3
Postpartum depression,6
Postpartum disorder,4
Postpartum haemorrhage,126
Postpartum hypopituitarism,7
Postpartum state,1
Postpartum thrombosis,1
Postpartum uterine subinvolution,1
Postpartum venous thrombosis,5
Postpericardiotomy syndrome,1
Post polio syndrome,6
Postprandial hypoglycaemia,42
Post procedural bile leak,48
Post procedural cellulitis,18
Post procedural complication,1547
Post procedural complication circulatory,1
Post procedural constipation,9
Post procedural contusion,29
Post procedural diarrhoea,32
Post procedural discharge,45
Post procedural discomfort,195
Post procedural drainage,7
Post procedural erythema,10
Post procedural fever,33
Post procedural fistula,40
Post procedural haematoma,282
Post procedural haematuria,43
Post procedural haemorrhage,1837
Post procedural hypoparathyroidism,6
Post procedural hypotension,13
Post procedural hypothyroidism,11
Post procedural infection,1167
Post procedural inflammation,59
Post procedural myocardial infarction,10
Post procedural oedema,9
Post procedural persistent drain fluid,6
Post procedural pneumonia,38
Post procedural pruritus,6
Post procedural pulmonary embolism,42
Post procedural sepsis,86
Post procedural stroke,41
Post procedural swelling,102
Post procedural urine leak,13
Postrenal failure,55
Postresuscitation encephalopathy,7
Postsplenectomy syndrome,1
Post streptococcal glomerulonephritis,6
Post stroke depression,2
Post stroke epilepsy,10
Post stroke seizure,3
Post thrombotic retinopathy,2
Post thrombotic syndrome,61
Post transfusion purpura,2
Post transplant distal limb syndrome,64
Post transplant lymphoproliferative disorder,1162
Post-traumatic amnestic disorder,4
Post-traumatic epilepsy,10
Post-traumatic headache,7
Post-traumatic neck syndrome,50
Post-traumatic neuralgia,2
Post-traumatic pain,25
Post-traumatic punctate intraepidermal haemorrhage,1
Post-traumatic stress disorder,452
Post treatment Lyme disease syndrome,3
Post-tussive vomiting,3
Postural orthostatic tachycardia syndrome,162
Postural reflex impairment,1
Postural tremor,23
Posture abnormal,111
Posturing,11
Post vaccination syndrome,7
Post viral fatigue syndrome,23
Potassium wasting nephropathy,1
Potentiating drug interaction,271
Potter's syndrome,4
Pouchitis,107
Poverty,1
Poverty of speech,12
Poverty of thought content,3
Prader-Willi syndrome,7
Prealbumin decreased,3
Prealbumin increased,3
Preauricular cyst,5
Precancerous cells present,248
Precancerous condition,153
Precancerous lesion,7
Precancerous lesion excision,7
Precancerous lesion of digestive tract,19
Precancerous mucosal lesion,15
Precancerous skin lesion,357
Precerebral artery occlusion,1
Precerebral artery thrombosis,1
Precipitate labour,7
Precocious puberty,134
Precursor B-lymphoblastic lymphoma,20
Precursor B-lymphoblastic lymphoma recurrent,10
Precursor B-lymphoblastic lymphoma refractory,3
Precursor T-lymphoblastic lymphoma/leukaemia,15
Precursor T-lymphoblastic lymphoma/leukaemia recurrent,6
Precursor T-lymphoblastic lymphoma/leukaemia stage I,4
Precursor T-lymphoblastic lymphoma/leukaemia stage IV,1
Pre-eclampsia,376
Pre-engraftment immune reaction,1
Pre-existing condition improved,2229
Pre-existing disease,55
Pregnancy,3865
Pregnancy after post coital contraception,236
Pregnancy of partner,240
Pregnancy of unknown location,2
Pregnancy on contraceptive,293
Pregnancy on oral contraceptive,142
Pregnancy related infection,1
Pregnancy test false positive,160
Pregnancy test negative,8
Pregnancy test positive,54
Pregnancy test urine positive,4
Pregnancy with contraceptive device,614
Pregnancy with contraceptive patch,6
Pregnancy with implant contraceptive,1163
Pregnancy with injectable contraceptive,11
Pregnenolone deficiency,7
Prehypertension,5
Preictal state,3
Premature ageing,9
Premature baby,5598
Premature baby death,15
Premature delivery,4380
Premature ejaculation,130
Premature labour,480
Premature menarche,9
Premature menopause,125
Premature ovulation,28
Premature recovery from anaesthesia,5
Premature rupture of membranes,129
Premature separation of placenta,91
Premedication,1
Premenstrual cramps,4
Premenstrual dysphoric disorder,20
Premenstrual headache,2
Premenstrual pain,14
Premenstrual syndrome,83
Prenatal screening test,1
Prenatal screening test abnormal,4
Preoperative care,2
Prepuce redundant,3
Prepyloric stenosis,3
Prerenal failure,192
Presbyacusis,24
Presbyoesophagus,3
Presbyopia,26
Prescribed overdose,2547
Prescribed underdose,3459
Prescription drug used without a prescription,1176
Prescription form tampering,53
Presenile dementia,3
Pressure of speech,7
Presumed ocular histoplasmosis syndrome,2
Presyncope,1901
Preterm premature rupture of membranes,196
Preventive surgery,1
Prevertebral soft tissue swelling of cervical space,1
Previous caesarean section,1
Priapism,1093
PRIDE syndrome,7
Primary adrenal insufficiency,67
Primary amyloidosis,48
Primary biliary cholangitis,96
Primary breast lymphoma,8
Primary cardiac lymphoma,3
Primary cerebellar degeneration,2
Primary ciliary dyskinesia,6
Primary cough headache,3
Primary effusion lymphoma,23
Primary familial brain calcification,5
Primary familial hypomagnesaemia,1
Primary gastrointestinal follicular lymphoma,2
Primary headache associated with sexual activity,15
Primary hyperaldosteronism,12
Primary hyperthyroidism,8
Primary hypogonadism,16
Primary hypoparathyroidism,5
Primary hypothyroidism,26
Primary immunodeficiency syndrome,7
Primary mediastinal large B-cell lymphoma,29
Primary mediastinal large B-cell lymphoma recurrent,9
Primary mediastinal large B-cell lymphoma refractory,2
Primary mediastinal large B-cell lymphoma stage I,2
Primary mediastinal large B-cell lymphoma stage II,1
Primary mediastinal large B-cell lymphoma stage III,1
Primary mediastinal large B-cell lymphoma stage IV,4
Primary myelofibrosis,88
Primary progressive aphasia,6
Primary progressive multiple sclerosis,100
Primary pulmonary melanoma,6
Primary sequestrum,1
Primary syphilis,5
Primitive neuroectodermal tumour,8
Prinzmetal angina,252
Probable e-cigarette or vaping product use associated lung injury,1
Probiotic therapy,12
Procalcitonin abnormal,2
Procalcitonin decreased,1
Procalcitonin increased,47
Procedural anxiety,120
Procedural complication,565
Procedural dizziness,27
Procedural failure,17
Procedural haemorrhage,609
Procedural headache,41
Procedural hypertension,21
Procedural hypotension,97
Procedural intestinal perforation,46
Procedural nausea,79
Procedural pain,4428
Procedural pneumothorax,20
Procedural shock,9
Procedural site reaction,30
Procedural vomiting,49
Procedure aborted,6
Procoagulant therapy,743
Procollagen type I C-terminal propeptide increased,5
Proctalgia,409
Proctectomy,53
Proctitis,284
Proctitis bacterial,2
Proctitis fungal,1
Proctitis haemorrhagic,14
Proctitis herpes,2
Proctitis ulcerative,72
Proctitis viral,1
Proctocolectomy,68
Proctoplasty,2
Prodromal Alzheimer's disease,2
Product adhesion issue,7323
Product administered at inappropriate site,4484
Product administered by wrong person,80
Product administered from unauthorised provider,9
Product administered to patient of inappropriate age,1307
Product administration error,4471
Product administration interrupted,1901
Product advertising issue,28
Product after taste,177
Product appearance confusion,320
Product availability issue,4520
Product barcode issue,166
Product blister packaging issue,210
Product caught fire,7
Product cleaning inadequate,257
Product closure issue,90
Product closure removal difficult,169
Product coating issue,104
Product colour issue,684
Product commingling,204
Product communication issue,1210
Product complaint,6395
Product compounding quality issue,25
Product confusion,248
Product container issue,1236
Product container seal issue,295
Product contamination,463
Product contamination chemical,32
Product contamination microbial,111
Product contamination physical,546
Product contamination with body fluid,52
Product counterfeit,139
Product delivery mechanism issue,791
Product deposit,231
Product design confusion,23
Product design issue,86
Product difficult to remove,7
Product difficult to swallow,327
Product dispensing error,7489
Product dispensing issue,523
Product distribution issue,1371
Product dosage form confusion,23
Product dosage form issue,70
Product dose confusion,63
Product dose omission,20654
Product dose omission in error,5240
Product dose omission issue,71474
Product dropper issue,65
Product expiration date issue,207
Product formulation issue,555
Product friable,9
Product gel formation,5
Product identification number issue,16
Product impurity,33
Product intolerance,52
Productive cough,3050
Product label confusion,1437
Product label counterfeit,4
Product label issue,944
Product label on wrong product,48
Product leakage,648
Product lot number issue,147
Product measured potency issue,104
Product monitoring error,184
Product name confusion,242
Product odour abnormal,1686
Product origin unknown,7
Product outer packaging issue,123
Product package associated injury,715
Product packaging confusion,611
Product packaging counterfeit,3
Product packaging difficult to open,438
Product packaging issue,1498
Product packaging quantity issue,1645
Product physical consistency issue,778
Product physical issue,2711
Product preparation error,4390
Product preparation issue,1157
Product prescribing error,5232
Product prescribing issue,3671
Product primary packaging issue,10
Product process control issue,1
Product quality control issue,17
Product quality issue,8677
Product reconstitution issue,47
Product reconstitution quality issue,136
Product residue present,1256
Product selection error,261
Product shape issue,68
Product size issue,613
Product solubility abnormal,629
Product sterility issue,17
Product sterility lacking,6
Product storage error,27389
Product substitution,46
Product substitution error,10
Product substitution issue,4342
Product supply issue,1116
Product tampering,138
Product taste abnormal,1712
Product temperature excursion issue,1293
Product use complaint,2737
Product used for unknown indication,192
Product use in unapproved indication,39554
Product use in unapproved therapeutic environment,100
Product use issue,33523
Progesterone abnormal,3
Progesterone decreased,16
Progesterone increased,31
Prognathism,7
Progressive bulbar palsy,3
Progressive diaphyseal dysplasia,1
Progressive external ophthalmoplegia,8
Progressive facial hemiatrophy,3
Progressive familial intrahepatic cholestasis,1
Progressive macular hypomelanosis,1
Progressive massive fibrosis,2
Progressive multifocal leukoencephalopathy,2319
Progressive multiple sclerosis,176
Progressive muscular atrophy,4
Progressive relapsing multiple sclerosis,22
Progressive supranuclear palsy,33
Prohormone brain natriuretic peptide decreased,1
Prohormone brain natriuretic peptide increased,10
Prolactinoma,8
Prolactin-producing pituitary tumour,70
Prolapse,51
Prolapse repair,7
Prolonged expiration,5
Prolonged labour,39
Prolonged pregnancy,8
Prolonged rupture of membranes,5
Prolymphocytic leukaemia,5
Promiscuity,1
Promotion of wound healing,4
Promyelocyte count increased,1
Prophylactic chemotherapy,1
Prophylaxis,15
Prophylaxis against diarrhoea,1
Prophylaxis against transplant rejection,16
Prophylaxis of nausea and vomiting,3
Propionibacterium infection,9
Propofol infusion syndrome,97
Propulsive gait,3
Prosopagnosia,5
Prostaglandin analogue periorbitopathy,4
Prostate ablation,11
Prostate cancer,61403
Prostate cancer metastatic,862
Prostate cancer recurrent,135
Prostate cancer stage 0,459
Prostate cancer stage I,3495
Prostate cancer stage II,2732
Prostate cancer stage III,2346
Prostate cancer stage IV,2802
Prostatectomy,131
Prostate examination,1
Prostate examination abnormal,16
Prostate induration,3
Prostate infection,206
Prostate tenderness,3
Prostatic abscess,28
Prostatic adenoma,25
Prostatic artery embolisation,1
Prostatic asymmetry,1
Prostatic atrophy,2
Prostatic calcification,3
Prostatic disorder,2872
Prostatic dysplasia,12
Prostatic haemorrhage,82
Prostatic mass,24
Prostatic obstruction,22
Prostatic operation,261
Prostatic pain,46
Prostatic polyp,3
Prostatic specific antigen,7
Prostatic specific antigen abnormal,258
Prostatic specific antigen decreased,69
Prostatic specific antigen increased,2914
Prostatic urethral lift procedure,3
Prostatism,20
Prostatitis,486
Prostatitis Escherichia coli,5
Prostatitis tuberculous,2
Prostatomegaly,448
Prosthesis implantation,28
Prosthesis user,5
Prosthetic cardiac valve malfunction,1
Prosthetic cardiac valve regurgitation,1
Prosthetic cardiac valve thrombosis,24
Prosthetic tracheal reconstruction,1
Prosthetic valve endocarditis,7
Prostitute,1
Protein albumin ratio,2
Protein albumin ratio abnormal,1
Protein albumin ratio decreased,1
Protein albumin ratio increased,2
Protein bound iodine increased,4
Protein C decreased,5
Protein C deficiency,6
Protein C increased,2
Protein deficiency,17
Protein induced by vitamin K absence or antagonist II increased,7
Protein intolerance,3
Protein-losing gastroenteropathy,78
Protein S decreased,12
Protein S deficiency,17
Protein S increased,8
Protein total,4
Protein total abnormal,218
Protein total decreased,167
Protein total increased,330
Proteinuria,1937
Protein urine,99
Protein urine absent,1
Protein urine present,579
Proteus infection,35
Proteus test positive,9
Prothrombin consumption time prolonged,3
Prothrombin level abnormal,7
Prothrombin level decreased,43
Prothrombin level increased,15
Prothrombin time abnormal,31
Prothrombin time prolonged,170
Prothrombin time ratio abnormal,3
Prothrombin time ratio decreased,31
Prothrombin time ratio increased,15
Prothrombin time shortened,62
Protothecosis,12
Protrusion tongue,45
Providencia urinary tract infection,1
Provisional tic disorder,2
Proximal focal femoral deficiency,1
Prurigo,93
Pruritus,52151
Pruritus allergic,173
Pruritus generalised,2946
Pruritus genital,211
Pseudallescheria infection,2
Pseudarthrosis,27
Pseudoaldosteronism,57
Pseudoallergic reaction,3
Pseudoangina,2
Pseudo-Bartter syndrome,25
Pseudobulbar palsy,4
Pseudocellulitis,78
Pseudocholelithiasis,57
Pseudocholinesterase deficiency,12
Pseudocirrhosis,107
Pseudocroup,1
Pseudo Cushing's syndrome,7
Pseudocyst,11
Pseudodementia,25
Pseudoendophthalmitis,15
Pseudofolliculitis,17
Pseudofolliculitis barbae,3
Pseudogynaecomastia,7
Pseudohallucination,1
Pseudohyperkalaemia,7
Pseudohyperphosphataemia,3
Pseudohypoaldosteronism,7
Pseudohypoglycaemia,8
Pseudohyponatraemia,14
Pseudohypoparathyroidism,3
Pseudolymphoma,178
Pseudomembranous colitis,269
Pseudomeningocele,29
Pseudomonal bacteraemia,77
Pseudomonal sepsis,198
Pseudomonal skin infection,5
Pseudomonas aeruginosa meningitis,4
Pseudomonas bronchitis,7
Pseudomonas infection,885
Pseudomonas peritonitis,3
Pseudomonas test positive,63
Pseudomyopia,28
Pseudomyxoma peritonei,19
Pseudo-occlusion of internal carotid artery,1
Pseudopapilloedema,4
Pseudoparalysis,3
Pseudophaeochromocytoma,24
Pseudophakia,1
Pseudophakodonesis,1
Pseudopolyp,18
Pseudopolyposis,13
Pseudoporphyria,144
Pseudoprecocious puberty,2
Pseudoradicular syndrome,3
Pseudostrabismus,1
Pseudostroke,46
Pseudothrombophlebitis,1
Pseudovasculitis,2
Pseudoxanthoma elasticum,4
Pseudoxanthoma elasticum-like syndrome,3
Psittacosis,1
Psoas abscess,81
Psoriasis,35485
Psoriasis area severity index,1
Psoriasis area severity index decreased,4
Psoriasis area severity index increased,21
Psoriatic arthropathy,7004
Psychiatric care,3
Psychiatric decompensation,439
Psychiatric disorder prophylaxis,2
Psychiatric evaluation,34
Psychiatric evaluation abnormal,2
Psychiatric symptom,617
Psychogenic blindness,1
Psychogenic pseudosyncope,1
Psychogenic seizure,209
Psychogenic tremor,3
Psychogenic visual disorder,8
Psychological abuse,1
Psychological factor affecting medical condition,5
Psychological trauma,79
Psychomotor disadaptation syndrome,7
Psychomotor hyperactivity,1195
Psychomotor retardation,140
Psychomotor seizures,2
Psychomotor skills impaired,208
Psychopathic personality,7
Psychosexual disorder,27
Psychosocial support,3
Psychosomatic disease,4
Psychotherapy,3
Psychotic behaviour,94
Psychotic disorder,3882
Psychotic disorder due to a general medical condition,20
Psychotic symptom,412
PTEN gene mutation,1
Pterygium,52
Pterygium operation,1
Ptosis repair,2
Pubertal disorder,1
Puberty,6
Pubic pain,10
Pubis fracture,29
Pudendal block,2
Pudendal canal syndrome,12
Puerperal infection,3
Puerperal pyrexia,10
Pulmonary air leakage,14
Pulmonary alveolar haemorrhage,1015
Pulmonary alveolar microlithiasis,1
Pulmonary amyloidosis,17
Pulmonary angioplasty,6
Pulmonary aplasia,12
Pulmonary arterial hypertension,2487
Pulmonary arterial pressure,3
Pulmonary arterial pressure abnormal,16
Pulmonary arterial pressure decreased,6
Pulmonary arterial pressure increased,128
Pulmonary arterial wedge pressure decreased,1
Pulmonary arterial wedge pressure increased,10
Pulmonary arteriopathy,2
Pulmonary arteriovenous fistula,1
Pulmonary artery aneurysm,25
Pulmonary artery atresia,2
Pulmonary artery banding,4
Pulmonary artery compression,1
Pulmonary artery dilatation,13
Pulmonary artery occlusion,14
Pulmonary artery stenosis,27
Pulmonary artery stenosis congenital,12
Pulmonary artery therapeutic procedure,6
Pulmonary artery thrombosis,125
Pulmonary artery wall hypertrophy,1
Pulmonary atypical adenomatous hyperplasia,1
Pulmonary blastomycosis,19
Pulmonary bulla,1
Pulmonary bullae rupture,3
Pulmonary bullectomy,1
Pulmonary calcification,23
Pulmonary capillary haemangiomatosis,7
Pulmonary cavitation,94
Pulmonary congestion,789
Pulmonary contusion,23
Pulmonary embolism,16759
Pulmonary endarterectomy,47
Pulmonary eosinophilia,87
Pulmonary fibrosis,2464
Pulmonary fistula,17
Pulmonary function test,5
Pulmonary function test abnormal,105
Pulmonary function test decreased,687
Pulmonary function test increased,4
Pulmonary granuloma,110
Pulmonary haematoma,23
Pulmonary haemorrhage,1198
Pulmonary haemorrhage neonatal,22
Pulmonary haemosiderosis,6
Pulmonary hilar enlargement,2
Pulmonary hilum mass,4
Pulmonary histoplasmosis,10
Pulmonary hypertension,2430
Pulmonary hypertensive crisis,36
Pulmonary hypoperfusion,2
Pulmonary hypoplasia,25
Pulmonary imaging procedure abnormal,12
Pulmonary infarction,96
Pulmonary interstitial emphysema syndrome,13
Pulmonary malformation,10
Pulmonary mass,1436
Pulmonary microemboli,15
Pulmonary mucormycosis,103
Pulmonary mycosis,104
Pulmonary necrosis,14
Pulmonary nocardiosis,176
Pulmonary nodular lymphoid hyperplasia,2
Pulmonary oedema,4867
Pulmonary oedema neonatal,2
Pulmonary oil microembolism,43
Pulmonary ossification,4
Pulmonary pain,199
Pulmonary paracoccidioidomycosis,1
Pulmonary physical examination abnormal,1
Pulmonary pneumatocele,7
Pulmonary radiation injury,13
Pulmonary renal syndrome,51
Pulmonary resection,51
Pulmonary sarcoidosis,248
Pulmonary sensitisation,1
Pulmonary sepsis,246
Pulmonary septal thickening,9
Pulmonary sequestration,3
Pulmonary thrombosis,2577
Pulmonary toxicity,1619
Pulmonary trichosporonosis,6
Pulmonary tuberculoma,6
Pulmonary tuberculosis,1033
Pulmonary tumour thrombotic microangiopathy,11
Pulmonary valve disease,7
Pulmonary valve incompetence,25
Pulmonary valve repair,2
Pulmonary valve replacement,9
Pulmonary valve stenosis,26
Pulmonary valve stenosis congenital,15
Pulmonary vascular disorder,15
Pulmonary vascular resistance abnormality,3
Pulmonary vasculitis,41
Pulmonary vein occlusion,20
Pulmonary vein stenosis,8
Pulmonary veno-occlusive disease,125
Pulmonary venous hypertension,4
Pulmonary venous thrombosis,25
Pulpitis dental,104
Pulpless tooth,3
Pulse abnormal,71
Pulse absent,147
Pulseless electrical activity,204
Pulse pressure decreased,4
Pulse pressure increased,5
Pulse volume decreased,1
Pulse waveform abnormal,1
Punctal plug insertion,11
Punctate keratitis,133
Puncture site abscess,2
Puncture site bruise,8
Puncture site cellulitis,1
Puncture site discharge,1
Puncture site erythema,1
Puncture site haematoma,7
Puncture site haemorrhage,94
Puncture site induration,1
Puncture site infection,15
Puncture site inflammation,2
Puncture site injury,2
Puncture site pain,14
Puncture site pruritus,1
Puncture site reaction,2
Puncture site swelling,10
Pupil dilation procedure,1
Pupil fixed,43
Pupillary block,1
Pupillary deformity,12
Pupillary disorder,34
Pupillary light reflex tests abnormal,4
Pupillary reflex impaired,36
Pupillotonia,1
Pupils unequal,95
Pure white cell aplasia,16
Purging,9
Purine metabolism disorder,2
Purple glove syndrome,41
Purple urine bag syndrome,3
Purpura,984
Purpura fulminans,34
Purpura non-thrombocytopenic,17
Purpura senile,12
Purtscher retinopathy,28
Purulence,76
Purulent discharge,143
Purulent pericarditis,8
Purulent synovitis,1
Pus in stool,9
Pustular psoriasis,652
Pustule,254
Putamen haemorrhage,96
PUVA,3
Pyelitis,45
Pyelocaliectasis,57
Pyelocystitis,4
Pyelonephritis,1475
Pyelonephritis acute,343
Pyelonephritis chronic,22
Pyelonephritis fungal,12
Pyelonephritis viral,1
Pyloric abscess,4
Pyloric stenosis,78
Pylorospasm,2
Pyoderma,108
Pyoderma gangrenosum,818
Pyoderma streptococcal,9
Pyogenic granuloma,103
Pyogenic sterile arthritis pyoderma gangrenosum and acne syndrome,1
Pyometra,22
Pyomyositis,72
Pyonephrosis,5
Pyopneumothorax,8
Pyostomatitis vegetans,2
Pyramidal tract syndrome,38
Pyrexia,26299
Pyroglutamate increased,5
Pyroglutamic acidosis,104
Pyromania,8
Pyruvate dehydrogenase complex deficiency,1
Pyruvate kinase decreased,2
Pyruvate kinase deficiency anaemia,1
Pythium insidiosum infection,1
Pyuria,27
Q fever,26
QRS axis abnormal,13
Quadranopia,4
Quadrantanopia,14
Quadriparesis,119
Quadriplegia,156
Quality of life decreased,668
Quarantine,27
Queyrat erythroplasia,1
Rabbit syndrome,59
Rabies,21
Rabies immunisation,2
Rachiotomy,1
Radial head dislocation,1
Radial nerve compression,6
Radial nerve injury,7
Radial nerve palsy,37
Radial pulse abnormal,2
Radial pulse decreased,2
Radiation alopecia,1
Radiation associated haemorrhage,10
Radiation associated pain,12
Radiation cardiac injury,1
Radiation dysphagia,7
Radiation fibrosis,3
Radiation fibrosis - lung,2
Radiation hepatitis,2
Radiation induced encephalopathy,1
Radiation induced fatigue,5
Radiation inflammation,5
Radiation injury,96
Radiation interaction,18
Radiation mucositis,11
Radiation myelopathy,19
Radiation necrosis,105
Radiation neuropathy,2
Radiation oesophagitis,46
Radiation osteitis,1
